Model,Dataset,Config,GPU_Freq_MHz,Accuracy_pct,Train_Time_s,CPU_Freq_MHz,CPU_Load_pct,GPU_Load_pct,Mem_Freq_MHz,Mem_Load_pct,CPU_Power_mW,GPU_Power_mW,Total_Power_mW,Energy_J
DeBERTa-xlarge,SST-2,306,306,96.33,5136.79,1691,71,97,3197,19,2012,8752,10764,55292.41
DeBERTa-xlarge,SST-2,408,408,96.33,3878.55,1700,71,97,3197,26,2027,10223,12250,47512.24
DeBERTa-xlarge,SST-2,510,510,96.33,3144.94,1707,72,97,3196,32,2017,11664,13681,43025.92
DeBERTa-xlarge,SST-2,612,612,96.33,2638.64,1711,71,97,3196,38,1924,13631,15555,41044.05
DeBERTa-xlarge,SST-2,714,714,96.33,2294.39,1700,71,96,3196,44,2051,15787,17838,40927.33
DeBERTa-xlarge,SST-2,816,816,96.33,2023.38,1710,72,96,3195,50,2072,18182,20254,40981.54
DeBERTa-xlarge,SST-2,918,918,96.33,1849.22,1707,71,96,3195,54,2079,20662,22741,42053.11
DeBERTa-xlarge,SST-2,1020,1020,96.33,1716.45,1706,71,96,3194,58,2092,23763,25855,44378.81
DeBERTa-xlarge,SST-2,1122,1122,96.33,1627.69,1699,71,95,3194,62,2095,26349,28444,46298.01
DeBERTa-xlarge,SST-2,1224,1224,96.33,1549.02,1697,71,95,3194,64,2138,30132,32270,49986.88
DeBERTa-xlarge,SST-2,1300,1300,96.33,1516.46,1694,72,95,3194,66,2158,32446,34604,52475.58
DeBERTa-xlarge,SST-2,Mode 0,1270,96.33,1516.22,1696,71,95,3175,66,2128,32377,34505,52317.17
DeBERTa-xlarge,SST-2,MODE2,1295,96.67,11714,1358,66,97,3198,27,1155,21277,22432,262768.45
DeBERTa-xlarge,QNLI,306,306,95.37,73055.77,1627,66,98,2221,13,1899,7595,9494,693591.48
DeBERTa-xlarge,QNLI,408,408,95.28,54941.98,1632,65,98,2232,18,1908,8952,10860,596669.9
DeBERTa-xlarge,QNLI,510,510,95.22,44244.33,1631,65,98,2332,22,1897,10442,12339,545930.79
DeBERTa-xlarge,QNLI,612,612,95.28,37154.01,1615,65,98,2453,25,1824,12616,14440,536503.9
DeBERTa-xlarge,QNLI,714,714,95.24,32238.16,1607,64,98,2610,27,1836,14893,16729,539312.18
DeBERTa-xlarge,QNLI,816,816,95.24,28136.8,1613,64,98,2864,28,1841,17693,19534,549624.25
DeBERTa-xlarge,QNLI,918,918,95.39,25135.85,1612,65,98,3198,28,1856,20909,22765,572217.63
DeBERTa-xlarge,QNLI,1020,1020,95.35,22971.81,1613,65,98,3198,31,1904,24671,26575,610475.85
DeBERTa-xlarge,QNLI,1122,1122,95.24,21401.56,1610,65,97,3198,33,1929,28035,29964,641276.34
DeBERTa-xlarge,QNLI,1224,1224,95.37,19963.15,1630,65,97,3199,36,2027,32957,34984,698390.84
DeBERTa-xlarge,QNLI,1300,1300,95.33,19161.84,1623,66,97,3198,37,2075,36389,38464,737041.01
DeBERTa-xlarge,QNLI,Mode 0,813,95.28,28139.24,1614,65,98,2868,28,1911,17716,19627,552288.86
DeBERTa-xlarge,QNLI,MODE2,1296,95.28,33408.32,1366,66,98,3198,22,1159,22286,23445,783258.06
